Term,Course Code,Course Title,Requirement Satisfied,Units,Semester Total,Cumulative Total,Notes,GE-D Consider (Prof / Class)
Prior Credit,,Transfer / Prior USC Work,,,,51.0,
Fall 2026,BUAD 304,Organizational Behavior and Leadership,Marshall Core,4.0,12.0,63.0,BUAD 281 moved to Spring 2027
,ECON 351,Microeconomics for Business,Economics / Marshall Core,4.0,,,
,REL 137,Intro to Islam,GE Category B (Humanistic Inquiry),4.0,,,4 units — swapped from HIST 103
Spring 2027,BUAD 281,Introduction to Managerial Accounting,Accounting / Marshall Core,3.0,15.0,78.0,Marshall #1
,BUAD 302,Communication Strategy for Business,Marshall Core,4.0,,,Marshall #2 (≤2 rule met)
,ANTH 202,Archaeology: Our Human Past,GE Category C,4.0,,,"Prof. Tracie Mayfield · RMP 4.6 quality / 2.1 difficulty · 82% would take again · avg grade A- (3.93 GPA) · open-book midterm/final (MC mostly from weekly quizzes) · final paper built via worksheets + peer review · reviews: prepares well for exams, generally lenient grader if you keep up"
,GE-D Course,Approved Life Sciences Course,GE Category D,4.0,,,Replaces Fall 2027 free elective slot,"HBIO-205 Science of Sport · Prof. Soultanakis (Fall sec 38411) · HBIO-210 Mediterranean Lifestyles · Prof. Soultanakis (Fall sec 38452) · RMP 2.8 quality / 2.8 difficulty · no papers · 2 MC midterms (drop lower) + MC final · memorize slides/study guides"
Fall 2027,BUAD 306,Business Finance,Marshall Core,4.0,12.0,90.0,WRIT 340 moved to Fall 2028
,ECON 352,Macroeconomics for Business,Economics Requirement,4.0,,,Prereq ECON 351
,Elective,General Free Elective,Degree Units,4.0,,,Moved from Fall 2028 to keep 12 units
Spring 2028,BUAD 310,Applied Business Statistics,Marshall Core,4.0,12.0,102.0,
,BUAD 311,Operations Management,Marshall Core,4.0,,,"Preferred: Charlie Hannigan (14911 8am MW or 14913 9:30am MW) · RMP 4.7 / diff 2.7 · 2024 Golden Apple · easiest A odds on roster; avoid Takayama if possible (only open sections)"
,GE-E Course,Approved Physical Sciences Course,GE Category E,4.0,,,
Fall 2028,BUAD 425,Data Analysis for Decision Making,Marshall Core,2.0,14.0,116.0,
,Elective,Upper-Division Marshall Elective (1 of 3),Major Elective,4.0,,,
,Elective,Upper-Division Marshall Elective (2 of 3),Major Elective,4.0,,,
,WRIT 340,Advanced Writing,Upper Division Writing,4.0,,,Moved from Fall 2027 — STARS: still needed
Spring 2029,BUAD 497,Strategic Management,Capstone Core,4.0,12.0,128.0,
,Elective,Upper-Division Marshall Elective (3 of 3),Major Elective,4.0,,,
,Elective,General Free Elective,Degree Units,4.0,,,
